feature,mean
PM10_zbe_roll_std_7d,3.375
NO2_zbe_diff_7d,3.375
PM2.5_zbe_roll_max_30d,3.25
fc_wind_speed_10m_d2,3.125
PM2.5_zbe_roll_std_14d,3.0
PM2.5_zbe_lag_30d,3.0
PM10_zbe_roll_max_30d,3.0
PM2.5_out_lag_30d,2.75
viento_vel_out,2.625
NO2_zbe_roll_max_7d,2.625
traffic_volume,2.625
ICA_out_roll_mean_3d,2.5
PM2.5_zbe_roll_mean_14d,2.375
dow_sin,2.375
PM2.5_zbe_lag_3d,2.25
ICA_zbe_roll_max_30d,2.25
day_of_week,2.125
ICA_out_roll_std_14d,2.125
ICA_zbe_roll_mean_30d,2.125
PM2.5_zbe_roll_std_3d,2.0
ICA_out_roll_max_7d,1.875
NO2_out_roll_max_14d,1.75
dow_cos,1.625
PM2.5_zbe_roll_mean_30d,1.625
PM2.5_out_roll_max_30d,1.625
day_of_year,1.625
ICA_out_roll_max_30d,1.25
es_domingo,1.25
NO2_out_roll_std_30d,1.125
ICA_out_roll_mean_7d,1.125
PM10_out_roll_max_14d,1.125
NO2_out_roll_mean_3d,1.125
PM10_out_roll_std_30d,1.0
es_invierno_estricto,0.75
PM2.5_zbe_diff_30d,0.75
PM10_out_roll_max_30d,0.625
week_of_year,0.5
PM2.5_out_roll_max_14d,0.5
ICA_out_roll_std_3d,0.5
PM2.5_zbe_roll_max_14d,0.375
NO2_zbe_roll_mean_30d,0.375
season,0.25
NO2_out_roll_max_7d,0.25
ICA_zbe_roll_mean_7d,0.25
ICA_out_roll_max_14d,0.25
PM10_zbe_roll_max_3d,0.125
PM10_out_diff_7d,0.125
ICA_zbe_lag_7d,0.125
domingo_invierno,0.0
month,0.0
dia_muy_frio,0.0
