date,BEATO_ICA,BEATO_NO2,BEATO_PM10,BEATO_PM25,FUEROS_ICA,FUEROS_NO2,FUEROS_PM10,FUEROS_PM25,HUETOS_ICA,HUETOS_NO2,HUETOS_PM10,HUETOS_PM25,LANDAZURI_ICA,LANDAZURI_NO2,LANDAZURI_PM10,LANDAZURI_PM25,PAUL_ICA,PAUL_NO2,PAUL_PM10,PAUL_PM25,ZUMABIDE_ICA,ZUMABIDE_NO2,ZUMABIDE_PM10,ZUMABIDE_PM25
2026-04-01,14.916666666666666,13.152421945833334,11.09375,5.679166666666667,21.166666666666668,12.258328137500001,15.437916666666666,8.247916666666667,23.541666666666668,15.606797220833334,18.414166666666667,8.833333333333334,21.25,11.100468879166668,14.597499999999998,8.289166666666667,44.041666666666664,11.418422029166665,33.280833333333334,12.827916666666667,27.0,22.009687666666665,18.933333333333334,10.57875
2026-04-02,9.333333333333334,13.57795325,2.734166666666667,1.8516666666666666,10.583333333333334,13.2615937625,5.086250000000001,3.5987500000000003,10.291666666666666,13.569187833333332,4.623333333333334,2.887916666666667,8.708333333333334,10.8773439,3.8204166666666666,2.6329166666666666,11.625,11.776219,8.458333333333334,4.189166666666667,15.166666666666666,22.459922333333335,6.028333333333333,4.019166666666667
2026-04-03,8.833333333333334,12.927703270833334,3.3816666666666664,1.8229166666666667,10.791666666666666,14.401921895833333,5.894166666666667,3.6950000000000003,10.5,13.911047145833335,5.1466666666666665,2.5629166666666667,8.5,11.428781375,4.399583333333333,2.44875,13.166666666666666,11.583375124999998,10.087083333333334,4.117083333333333,13.583333333333334,19.058062720833334,6.385000000000001,3.7587499999999996
2026-04-04,10.791666666666666,12.94045325,4.693333333333333,3.0700000000000003,13.833333333333334,12.335625289583334,7.659583333333334,5.00125,13.458333333333334,13.440549265714287,6.804583333333333,4.460833333333333,11.5,12.8539923875,5.927916666666667,3.7875,17.166666666666668,12.403359566666666,13.182083333333333,5.462083333333333,14.125,11.176172062500001,8.017916666666666,5.273333333333333
2026-04-05,10.291666666666666,6.866216680357144,5.7058333333333335,3.8754166666666667,16.125,8.105015725,9.595833333333333,6.22625,13.083333333333334,9.638601620833333,7.016249999999999,4.755833333333333,11.291666666666666,6.9941719,6.484999999999999,4.149166666666667,22.25,5.944687501250001,17.45,6.649166666666667,12.458333333333334,9.381290875,7.28,4.79125
2026-04-06,13.541666666666666,2.8414855014880955,7.565416666666667,5.19625,21.0,3.6182109183333337,11.941250000000002,8.190416666666666,20.75,4.105101617083333,12.685833333333333,8.058333333333334,17.875,3.83091020625,10.655833333333334,6.935,35.291666666666664,3.3978085786458334,27.87708333333333,10.981666666666667,25.083333333333332,4.726834830416666,14.21875,9.867083333333333
2026-04-07,7.833333333333333,4.487601554166667,4.647083333333334,2.4525,13.458333333333334,11.681390745833333,8.24875,3.8216666666666668,14.416666666666666,13.507828340416667,8.425416666666667,3.686666666666667,11.083333333333334,3.8531562625,8.235416666666667,3.362083333333333,45.916666666666664,3.195003907951389,36.36625,4.416666666666667,14.291666666666666,13.805062458333333,8.662916666666666,3.9479166666666665
2026-04-08,11.625,6.751921636875,7.568333333333334,3.2887500000000003,17.333333333333332,11.400093871666668,12.852083333333333,5.1375,20.125,15.621938012500001,14.165833333333333,5.6725,18.75,6.458273471458334,14.0025,4.699583333333334,57.75,5.107039067611111,42.60125,5.25,17.333333333333332,13.252828254166667,12.651666666666666,4.7225
2026-04-09,17.25,7.6107939875,13.093333333333334,5.86375,26.5,10.134656410833333,20.739166666666666,8.545,30.875,15.480890816666667,24.31375,10.152916666666668,29.333333333333332,8.748321523809524,23.13208333333333,8.282916666666667,79.625,8.035289296666667,58.08166666666667,10.52,26.166666666666668,11.5315783625,20.54041666666667,8.189166666666667
2026-04-10,18.041666666666668,9.3071017,12.352083333333333,7.014583333333333,27.0,12.163500067916667,18.63625,10.5875,30.083333333333332,16.19728175,19.972083333333334,11.86125,24.958333333333332,10.843875279166667,18.0,9.47125,55.958333333333336,9.174421897916666,41.318333333333335,11.9625,31.541666666666668,13.674375266666667,20.5725,12.40375
