code,Post-ZBE,Pre-ZBE,diff_abs,diff_pct
02036,1906.9166666666667,2121.7395264116576,-214.82285974499086,-10.124846008232923
02042,5097.058823529412,4191.836065573771,905.2227579556411,21.59489884134426
02148,3179.3970588235293,3057.0510018214936,122.34605700203565,4.002094074620861
02158,7536.573529411765,7457.772313296903,78.80121611486175,1.0566320987617495
02159,8746.872549019608,7045.825136612022,1701.0474124075863,24.142628853623997
02164,2256.544117647059,2677.7941712204006,-421.2500535733416,-15.731233494371132
02197,6229.504901960784,5948.990892531876,280.51400942890814,4.71532087536147
03012,2988.774509803922,5142.497267759562,-2153.7227579556406,-41.88087315978207
03014,8107.235294117647,9530.537340619308,-1423.3020465016616,-14.93412171458082
03016,2756.985294117647,2458.0783242258653,298.9069698917815,12.160188995845678
03017,2572.7107843137255,2505.8852459016393,66.82553841208619,2.6667437593712227
03023,6103.980392156863,6113.289617486339,-9.309225329476249,-0.15227849344562894
03024,8399.789215686274,7276.744990892532,1123.0442247937426,15.433332158806284
03025,4421.6225490196075,4404.3005464480875,17.322002571519988,0.3932974688907089
03027,5241.843137254902,5087.4408014571945,154.40233579770756,3.034970662528046
03120,9503.411764705883,9437.744990892532,65.66677381335103,0.6957888126530201
03125,1657.0441176470588,1619.3533697632058,37.690747883852964,2.3275184149191843
03241,10954.176470588236,11108.71766848816,-154.54119789992365,-1.391170452898511
03242,9224.85294117647,8606.142076502732,618.7108646737379,7.189177905428708
